REGIONE;ANNO;STRUTTURA;Totale valore della produzione (A); 	   Totale costi della produzione (B);Totale proventi e oneri finanziari (C); 	   Totale rettifiche di valore di attivita' finanziarie (D);Totale proventi e oneri straordinari (E); 	   Totale imposte e tasse;RISULTATO DI ESERCIZIO
VENETO;2010;ASOLO;439466;432346;234;0;2333;8543;1144
VENETO;2010;TREVISO;797548;800397;1168;0;17010;15152;177
VENETO;2010;S. DONA` DI PIAVE;364601;381093;-294;0;1067;7761;-23480
VENETO;2010;VENEZIANA;680211;747608;-22435;0;857;14925;-103900
VENETO;2010;MIRANO;437986;452814;-1301;0;-898;9014;-26041
VENETO;2010;CHIOGGIA;125133;139769;-404;0;1806;2512;-15746
VENETO;2010;CITTADELLA;445144;442271;-589;0;-1159;9236;-8111
VENETO;2010;PADOVA;911413;942223;-1127;0;-4958;9887;-46782
VENETO;2010;ESTE;326138;328140;-117;0;4866;6557;-3810
VENETO;2010;ROVIGO;377356;404311;-1403;3;-1910;8529;-38794
VENETO;2010;ADRIA;159273;165235;-81;3;580;2538;-7998
VENETO;2010;VERONA;795015;855767;-2237;0;1191;8500;-70298
VENETO;2010;LEGNAGO;280750;286057;-961;0;1948;6235;-10555
VENETO;2010;BUSSOLENGO;605618;611764;-55;0;12358;6050;107
LAZIO;2002;ASL RM/A;561120;680451;-1480;0;14855;11128;-117084
LAZIO;2002;ASL RM/B;697652;816400;-3813;0;2226;10781;-131116
LAZIO;2002;ASL RM/C;651933;811727;-4550;0;744;11620;-175220
LAZIO;2002;ASL RM/D;538901;662171;-3178;0;0;7426;-133874
LAZIO;2002;ASL RM/E;576242;739390;-1672;0;28306;9265;-145779
LAZIO;2002;ASL RM/F;251610;282368;-1050;0;851;7788;-38745
LAZIO;2002;ASL RM/G;429330;530764;-707;0;12492;10187;-99836
LAZIO;2002;ASL RM/H;493935;636742;-1197;0;13388;13204;-143820
LAZIO;2002;ASL VITERBO;337815;421403;-1172;0;25;9000;-93735
LAZIO;2002;ASL RIETI;179652;227054;-787;0;-955;5280;-54424
LAZIO;2002;ASL LATINA;532064;567056;-2969;0;981;10778;-47758
LAZIO;2002;ASL FROSINONE;536458;592876;-3096;0;3655;14269;-70128
LAZIO;2002;A.O. S. FILIPPO NERI;137448;178450;-1958;0;552;7227;-49635
LAZIO;2002;A.O. SAN GIOVANNI E ADDOLORATA;165659;225672;-590;0;-200;9065;-69868
LAZIO;2002;A.O. COMPL.OSP. S.CAMILLO FORLANINI;364523;422605;-914;0;1022;20660;-78634
LAZIO;2003;ACCENTRATA REGIONALE;1045157;270066;0;0;76000;0;851091
LAZIO;2003;ASL RM/A;595864;687034;-248;0;0;11725;-103143
LAZIO;2003;ASL RM/B;768693;860993;-211;0;0;11136;-103647
LAZIO;2003;ASL RM/C;709701;840578;-3548;0;0;13489;-147914
LAZIO;2003;ASL RM/D;607177;687424;-2133;0;0;8507;-90887
LAZIO;2003;ASL RM/E;639147;772071;-110;0;0;10722;-143756
LAZIO;2003;ASL RM/F;282511;295992;-163;0;0;4633;-18277
LAZIO;2003;ASL RM/G;476898;547894;-202;0;0;11689;-82887
LAZIO;2003;ASL RM/H;564201;636795;-3000;0;0;13145;-88739
LAZIO;2003;ASL VITERBO;390140;449371;-138;0;0;9749;-69118
LAZIO;2003;ASL RIETI;199008;234114;-204;0;0;5762;-41072
LAZIO;2003;ASL LATINA;583908;589670;-85;0;0;12134;-17981
LAZIO;2003;ASL FROSINONE;596213;617095;-150;0;0;14796;-35828
LAZIO;2003;ISTITUTI FISIOTERAPICI OSPEDALIERI;115251;132186;-3233;0;5715;5424;-19877
LAZIO;2003;A.O. S. FILIPPO NERI;133608;184968;-148;0;0;7328;-58836
LAZIO;2003;A.O. SAN GIOVANNI E ADDOLORATA;166621;223344;-480;0;0;9685;-66888
LAZIO;2003;CONSOLIDATO REGIONALE;7285828;7617154;-11912;0;76000;166267;-433505
LAZIO;2003;A.O. COMPL.OSP. S.CAMILLO FORLANINI;367532;460172;-1090;0;0;21084;-114814
LAZIO;2001;ASL RM/A;557727;650096;-2026;0;963;10642;-104074
LAZIO;2001;ASL RM/B;747315;821642;-8115;0;-2741;9497;-94680
LAZIO;2001;ASL RM/C;642944;759605;-1023;0;-13258;263;-131205
LAZIO;2001;ASL RM/D;568720;661609;-5606;0;5409;6329;-99415
LAZIO;2001;ASL RM/E;614715;750419;-4869;0;13378;9977;-137172
LAZIO;2001;ASL RM/F;259755;287913;-1051;0;-506;6401;-36116
LAZIO;2001;ASL RM/G;426659;517048;-3126;0;3089;29;-90455
LAZIO;2001;ASL RM/H;523490;613964;-5145;0;5082;12222;-102759
LAZIO;2001;ASL VITERBO;341222;406271;-5238;0;4107;8749;-74929
LAZIO;2001;ASL RIETI;177205;210571;-1275;0;-353;5277;-40271
LAZIO;2001;ASL LATINA;552537;555923;-4866;0;306;12093;-20039
LAZIO;2001;ASL FROSINONE;549416;602840;-4218;0;13787;176;-44031
LAZIO;2001;AO S. FILIPPO NERI;134673;162438;-2654;0;427;6999;-36991
LAZIO;2001;AO SAN GIOVANNI E ADDOLORATA;166260;212061;-2184;0;1627;9479;-55837
LAZIO;2001;AO COMPL.OSP. S.CAMILLO FORLANINI;345787;430310;-3118;0;2684;0;-84957
LAZIO;2006;ACCENTRATA REGIONALE;977157;660292;0;0;19025;0;335890
LAZIO;2006;COMPL.OSP. S.CAMILLO FORLANINI;317280;464745;-2031;0;10316;21286;-160466
LAZIO;2006;SAN GIOVANNI E ADDOLORATA;184885;270671;-1688;0;-631;11888;-99993
LAZIO;2006;S. FILIPPO NERI;150583;229174;-606;0;-15106;8605;-102908
LAZIO;2006;POLICLINICO UMBERTO PRIMO;362768;469298;-1404;0;3841;16267;-120360
LAZIO;2006;ISTITUTI FISIOTERAPICI OSPEDALIERI;131391;172317;-2940;0;-1982;5694;-51542
LAZIO;2006;INRCA;10914;13141;-93;0;-5;566;-2891
LAZIO;2006;OSPEDALE SPALLANZANI;87754;92982;-642;0;-107;2055;-8032
LAZIO;2006;POLICLINICO S. ANDREA;135327;200139;-184;0;-7471;5691;-78158
LAZIO;2006;POLICLINICO TOR-VERGATA;159471;192381;-241;0;19;3060;-36192
LAZIO;2006;Azienda Reg.Emergenza Sanitaria ARES 118;142592;132801;36;0;-538;6205;3084
LAZIO;2006;CONSOLIDATO REGIONALE;9643066;10972820;-62604;0;29637;238618;-1601339
LAZIO;2006;RM/A;783317;899543;-2332;0;-6283;13443;-138284
LAZIO;2006;RM/B;1052049;1270046;-11867;0;25851;12948;-216961
LAZIO;2006;RM/C;933384;1079976;-4110;0;23628;17077;-144151
LAZIO;2006;RM/D;794585;928446;-3537;0;-11723;10843;-159964
LAZIO;2006;RM/E;838059;1008023;-7888;0;19518;13376;-171710
LAZIO;2006;RM/F;355981;435817;-995;0;-10560;7495;-98886
LAZIO;2006;RM/G;629700;753187;-1366;0;-4673;12209;-141735
LAZIO;2006;RM/H;742747;871699;-13383;0;-9470;16259;-168064
LAZIO;2006;VITERBO;504230;540159;-1571;0;3699;12879;-46680
LAZIO;2006;RIETI;256036;281354;-1242;0;2132;6668;-31096
LAZIO;2006;LATINA;736499;783301;-1765;0;4861;15792;-59498
LAZIO;2006;FROSINONE;746179;760704;-2754;0;-14706;18313;-50298
LAZIO;2007;ACCENTRATA REGIONALE;660871;362309;0;0;38088;0;336650
LAZIO;2007;COMPL.OSP. S.CAMILLO FORLANINI;321251;469168;-3000;0;15763;19380;-154534
LAZIO;2007;SAN GIOVANNI E ADDOLORATA;173291;265194;-7817;0;-1401;10653;-111774
LAZIO;2007;S. FILIPPO NERI;142862;236283;-479;0;-7966;8180;-110046
LAZIO;2007;POLICLINICO UMBERTO PRIMO;377590;502540;-773;0;53915;16087;-87895
LAZIO;2007;ISTITUTI FISIOTERAPICI OSPEDALIERI;127788;170846;-1623;0;242;5703;-50142
LAZIO;2007;INRCA;10916;12525;0;0;0;565;-2174
LAZIO;2007;OSPEDALE SPALLANZANI;91582;100719;-163;0;426;1869;-10743
LAZIO;2007;POLICLINICO S. ANDREA;164651;221440;-731;0;287;5759;-62992
LAZIO;2007;POLICLINICO TOR-VERGATA;172378;211035;-583;0;8183;3155;-34212
LAZIO;2007;Azienda Reg.Emergenza Sanitaria ARES 118;134157;139953;-455;0;89;6741;-12903
LAZIO;2007;CONSOLIDATO REGIONALE;10114135;11205515;-122566;0;145527;223904;-1292323
LAZIO;2007;RM/A;1014259;1095920;-7761;0;-3645;11825;-104892
LAZIO;2007;RM/B;1155072;1297177;-10583;0;38563;13245;-127370
LAZIO;2007;RM/C;1081084;1193261;-12102;0;22278;15979;-117980
LAZIO;2007;RM/D;959689;1025053;-6511;0;-3159;9421;-84455
LAZIO;2007;RM/E;1345117;1441011;-11026;0;-256;11937;-119113
LAZIO;2007;RM/F;411747;464363;-2885;0;-739;6330;-62570
LAZIO;2007;RM/G;710543;791217;-7597;0;-2377;12996;-103644
LAZIO;2007;RM/H;876943;966953;-19654;0;-9132;14671;-133467
LAZIO;2007;VITERBO;539653;571488;-7262;0;-5189;11157;-55443
LAZIO;2007;RIETI;275313;297683;-2818;0;2968;6764;-28984
LAZIO;2007;LATINA;824757;832402;-9345;0;-1492;14184;-32666
LAZIO;2007;FROSINONE;833561;812823;-9398;0;81;17303;-5882
LAZIO;2004;ACCENTRATA REGIONALE;382999;464393;0;0;-519521;0;-600915
LAZIO;2004;INRCA - ROMA;11804;11708;-30;0;-9;619;-562
LAZIO;2004;ASL RM/A;664037;753834;-7736;0;-1704;11571;-110808
LAZIO;2004;ASL RM/B;876630;1067597;-4831;0;-9721;11934;-217453
LAZIO;2004;ASL RM/C;779985;959247;-4567;-1;7030;15057;-191857
LAZIO;2004;ASL RM/D;674134;780776;-2833;0;-6048;8979;-124502
LAZIO;2004;ASL RM/E;715076;860687;-4730;0;-13455;11584;-175380
LAZIO;2004;ASL RM/F;301159;351747;-601;0;-689;9356;-61234
LAZIO;2004;ASL RM/G;533017;628492;-1208;0;-6895;11005;-114583
LAZIO;2004;ASL RM/H;633723;720689;-3847;0;-11563;14085;-116461
LAZIO;2004;ASL VITERBO;426289;487230;-2282;0;-6544;10624;-80391
LAZIO;2004;ASL RIETI;216837;251350;-730;0;-1830;6406;-43479
LAZIO;2004;ASL LATINA;624173;669822;-1438;0;-11314;12916;-71317
LAZIO;2004;ASL FROSINONE;637458;707620;-2269;0;-10000;15339;-97770
LAZIO;2004;ISTITUTI FISIOTERAPICI OSPEDALIERI;128742;144183;-1812;0;4204;5264;-18313
LAZIO;2004;A.O. S. FILIPPO NERI;169990;205009;-1683;0;-5354;7800;-49856
LAZIO;2004;A.O. SAN GIOVANNI E ADDOLORATA;185552;245991;-2028;0;-2351;10484;-75302
LAZIO;2004;A.O. POLICLINICO S.ANDREA;97674;128173;-426;0;-113;3038;-34076
LAZIO;2004;CONSOLIDATO REGIONALE;8098707;8913523;-42268;-1;-612922;182832;-1652839
LAZIO;2004;A.O. COMPL.OSP. S.CAMILLO FORLANINI;448529;505588;-1061;0;-12848;22652;-93620
LAZIO;2005;ACCENTRATA REGIONALE;150000;314184;0;0;165431;0;1247
LAZIO;2005;COMPL.OSP. S.CAMILLO FORLANINI;316602;465915;-795;0;-19636;19094;-188838
LAZIO;2005;SAN GIOVANNI E ADDOLORATA;176173;251942;-2538;0;-9808;10065;-98180
LAZIO;2005;S. FILIPPO NERI;154226;221567;-394;0;-22399;7741;-97875
LAZIO;2005;ISTITUTI FISIOTERAPICI OSPEDALIERI;137522;162077;-1702;0;-2648;5512;-34417
LAZIO;2005;OSPEDALE SPALLANZANI;85389;87858;-182;0;-2218;1839;-6708
LAZIO;2005;POLICLINICO S. ANDREA;103737;159832;-87;0;-3442;4889;-64513
LAZIO;2005;POLICLINICO TOR-VERGATA;130563;161205;-1501;0;-947;2489;-35579
LAZIO;2005;ARES 118;113775;112688;-2;0;3;3577;-2489
LAZIO;2005;CONSOLIDATO REGIONALE;8430420;9897260;-50248;0;-46685;214462;-1778235
LAZIO;2005;RM/A;688109;848478;-1784;0;-3403;11767;-177323
LAZIO;2005;RM/B;914138;1124951;-3706;0;-19163;12598;-246280
LAZIO;2005;RM/C;789169;991515;-3311;0;-14329;15476;-235462
LAZIO;2005;RM/D;694015;842609;-6800;0;-19926;9516;-184836
LAZIO;2005;RM/E;732883;945240;-5521;0;-16674;11595;-246147
LAZIO;2005;RM/F;313064;392192;-798;0;-6331;7074;-93331
LAZIO;2005;RM/G;550494;688711;-1448;0;-17512;12448;-169625
LAZIO;2005;RM/H;651937;805112;-12612;0;-19508;14654;-199949
LAZIO;2005;VITERBO;439402;530428;-1606;0;-11291;10911;-114834
LAZIO;2005;RIETI;222756;268553;-880;0;-6564;6575;-59816
LAZIO;2005;LATINA;644323;725327;-1659;0;-19262;12782;-114707
LAZIO;2005;FROSINONE;647862;711479;-1793;0;-6835;17418;-89663
LAZIO;2008;ACCENTRATA REGIONALE;671890;265661;0;0;0;0;406229
LAZIO;2008;COMPL.OSP. S.CAMILLO FORLANINI;366527;524458;-1199;0;6706;19054;-171478
LAZIO;2008;SAN GIOVANNI E ADDOLORATA;199117;289070;-5672;0;-3537;11468;-110630
LAZIO;2008;S. FILIPPO NERI;179606;257531;-889;0;-1351;8120;-88285
LAZIO;2008;POLICLINICO UMBERTO PRIMO;452028;544000;-555;0;22872;15092;-84747
LAZIO;2008;ISTITUTI FISIOTERAPICI OSPEDALIERI;155760;189677;36;0;-1203;5441;-40525
LAZIO;2008;INRCA;9960;12347;0;0;-17;535;-2939
LAZIO;2008;OSPEDALE SPALLANZANI;111711;115425;15;0;-392;2132;-6223
LAZIO;2008;POLICLINICO S. ANDREA;168415;221503;-342;0;2675;6163;-56918
LAZIO;2008;POLICLINICO TOR-VERGATA;252407;238840;-3117;0;-882;4222;5346
LAZIO;2008;Azienda Reg.Emergenza Sanitaria ARES 118;130655;139161;-793;0;-72;7020;-16391
LAZIO;2008;CONSOLIDATO REGIONALE;10243417;11277590;-111566;0;-40520;227294;-1413553
LAZIO;2008;RM/A;1084574;1105728;-8114;0;-2812;11674;-43754
LAZIO;2008;RM/B;1249576;1343910;-8962;0;-4123;12865;-120284
LAZIO;2008;RM/C;1135250;1258438;-15485;0;-15322;15066;-169061
LAZIO;2008;RM/D;1017233;1055945;-10276;0;-9032;9753;-67773
LAZIO;2008;RM/E;1525892;1656201;-9560;0;-1381;11927;-153177
LAZIO;2008;RM/F;442742;476873;-2498;0;-5353;6873;-48855
LAZIO;2008;RM/G;726954;832088;-3735;0;-6730;12837;-128436
LAZIO;2008;RM/H;950077;1033866;-11208;0;-8087;16693;-119777
LAZIO;2008;VITERBO;575598;633735;-6460;0;-4024;11616;-80237
LAZIO;2008;RIETI;283792;310670;-3721;0;1822;6460;-35237
LAZIO;2008;LATINA;849755;862358;-14830;0;-642;15425;-43500
LAZIO;2008;FROSINONE;846265;823122;-4200;0;-5561;16857;-3475
LAZIO;2009;ACCENTRATA REGIONALE;519828;161480;-1000;0;-11000;0;346348
LAZIO;2009;COMPL.OSP. S.CAMILLO FORLANINI;376221;491276;-1833;0;-10787;19217;-146892
LAZIO;2009;SAN GIOVANNI E ADDOLORATA;178294;275763;-4709;0;-2149;10678;-115005
LAZIO;2009;S. FILIPPO NERI;147969;238158;12;0;-1409;8338;-99924
LAZIO;2009;POLICLINICO UMBERTO PRIMO;414742;550703;-137;0;-13420;15734;-165252
LAZIO;2009;ISTITUTI FISIOTERAPICI OSPEDALIERI;143110;189325;-11;0;-778;5667;-52671
LAZIO;2009;INRCA;9960;12015;0;0;-5;548;-2608
LAZIO;2009;OSPEDALE SPALLANZANI;86263;112503;49;0;-194;2305;-28690
LAZIO;2009;POLICLINICO S. ANDREA;169209;224792;-193;0;176;5989;-61589
LAZIO;2009;POLICLINICO TOR-VERGATA;258516;250881;-3348;0;468;4759;-4
LAZIO;2009;Azienda Reg.Emergenza Sanitaria ARES 118;154067;145816;-443;0;-3584;6995;-2771
LAZIO;2009;CONSOLIDATO REGIONALE;10696441;11422960;-162203;0;-107784;229272;-1225778
LAZIO;2009;RM/A;1094760;1079617;-11053;0;-1295;9684;-6889
LAZIO;2009;RM/B;1198309;1277657;-11387;0;-4756;13652;-109143
LAZIO;2009;RM/C;1183578;1261579;-10481;0;898;16145;-103729
LAZIO;2009;RM/D;1009662;1018191;-18562;0;-13324;10233;-50648
LAZIO;2009;RM/E;1545849;1626388;-8661;0;-5135;12261;-106596
LAZIO;2009;RM/F;471619;495080;-1960;0;-7541;6736;-39698
LAZIO;2009;RM/G;770425;834848;-14879;0;-10301;12972;-102575
LAZIO;2009;RM/H;938750;1015961;-13506;0;-4509;15894;-111120
LAZIO;2009;VITERBO;559707;605279;-4351;0;-2146;11733;-63802
LAZIO;2009;RIETI;302079;323289;-3410;0;1802;7219;-30037
LAZIO;2009;LATINA;887755;886644;-7910;0;-6667;15270;-28736
LAZIO;2009;FROSINONE;892115;796120;-44436;0;-9390;17247;24922
LAZIO;2010;ACCENTRATA REGIONALE;314645;150945;0;0;0;0;163700
LAZIO;2010;COMPL.OSP. S.CAMILLO FORLANINI;345552;514421;-1307;0;-2397;18882;-191455
LAZIO;2010;SAN GIOVANNI E ADDOLORATA;192360;276233;-5683;0;-2672;10925;-103153
LAZIO;2010;S. FILIPPO NERI;157385;240443;-133;0;2478;8329;-89042
LAZIO;2010;POLICLINICO UMBERTO PRIMO;440773;538219;-583;0;3260;14589;-109358
LAZIO;2010;ISTITUTI FISIOTERAPICI OSPEDALIERI;135317;194873;-714;0;3143;5541;-62668
LAZIO;2010;INRCA;7984;11801;0;0;-9;556;-4382
LAZIO;2010;OSPEDALE SPALLANZANI;90257;115016;-110;0;-483;2277;-27629
LAZIO;2010;POLICLINICO S. ANDREA;186502;236606;-969;0;2291;6491;-55273
LAZIO;2010;POLICLINICO TOR-VERGATA;207528;274852;-10674;0;1127;4938;-81809
LAZIO;2010;Azienda Reg.Emergenza Sanitaria ARES 118;152816;151653;-266;0;230;6871;-5744
LAZIO;2010;CONSOLIDATO REGIONALE;10730349;11451148;-117521;0;-509;227689;-1066518
LAZIO;2010;RM/A;1108027;1106960;-7866;0;-2289;9727;-18815
LAZIO;2010;RM/B;1225743;1322486;-9019;0;4484;13682;-114960
LAZIO;2010;RM/C;1187602;1284427;-11120;0;-5;15522;-123472
LAZIO;2010;RM/D;1049922;1036598;-17008;0;1374;10137;-12447
LAZIO;2010;RM/E;1537735;1615624;-5642;0;5;12041;-95567
LAZIO;2010;RM/F;497570;494285;-2003;0;-2733;6860;-8311
LAZIO;2010;RM/G;837047;846005;-8638;0;-2863;12334;-32793
LAZIO;2010;RM/H;935540;995490;-8664;0;-581;15810;-85005
LAZIO;2010;VITERBO;593175;598008;-5220;0;-4744;12024;-26821
LAZIO;2010;RIETI;320283;327890;-3337;0;191;7438;-18191
LAZIO;2010;LATINA;920762;906472;-7079;0;2047;15662;-6404
LAZIO;2010;FROSINONE;908693;808648;-11483;0;-442;17053;71067
CAMPANIA;2002;A.O. COTUGNO;53995;51970;1;0;8773;2118;8681
CAMPANIA;2002;A.O. OSPEDALE MULTIZONALE DI CASERTA;108050;111702;-109;0;-276;5244;-9281
CAMPANIA;2002;ASL AVELLINO 1;163482;165507;-26;0;1932;4172;-4291
CAMPANIA;2002;ASL AVELLINO 2;267415;276236;-254;0;-9882;3303;-22260
CAMPANIA;2002;ASL BENEVENTO 1;290621;313961;-150;0;5505;4615;-22600
CAMPANIA;2002;ASL CASERTA 1;419218;485231;-670;0;7088;10183;-69778
CAMPANIA;2002;ASL CASERTA 2;413365;514565;-1560;0;-15025;9391;-127176
CAMPANIA;2002;ASL NAPOLI 1;1292733;1554910;-3181;0;-11889;37810;-315057
CAMPANIA;2002;ASL NAPOLI 2;425003;485589;-906;0;12884;9347;-57955
CAMPANIA;2002;ASL NAPOLI 3;309196;338594;-570;0;-14249;5193;-49410
CAMPANIA;2002;ASL NAPOLI 4;526142;544010;-855;0;-4239;7956;-30918
CAMPANIA;2002;ASL NAPOLI 5;603377;693244;-4518;0;-36611;15306;-146302
CAMPANIA;2002;ASL SALERNO 1;386472;448269;-491;0;8504;11519;-65303
CAMPANIA;2002;ASL SALERNO 2;483453;525810;-470;0;5351;12588;-50064
CAMPANIA;2002;ASL SALERNO 3;300622;304076;-147;0;-1759;8631;-13991
CAMPANIA;2002;A.O. SAN GIOVANNI DI DIO E RUG. D'AR.;136133;146650;-144;0;1319;6140;-15482
CAMPANIA;2002;A.O. MONALDI-COTUGNO;139574;137649;-151;0;578;6263;-3911
CAMPANIA;2002;A.O. SANTOBONO-PAUSILLIPON;79502;86913;-111;0;-657;3932;-12111
CAMPANIA;2002;A.O. SAN GIUSEPPE MOSCATI;104534;111533;-37;0;-33;5230;-12299
CAMPANIA;2002;A.O. G. RUMMO;77364;83844;-14;0;2777;87;-3804
CAMPANIA;2002;A.O. CARDARELLI;255811;272505;-61;0;2387;11882;-26250
CAMPANIA;2003;ACCENTRATA REGIONALE;347515;347515;0;0;0;0;0
CAMPANIA;2003;A.O. CARDARELLI;263201;285309;-42;0;-2603;12120;-36873
CAMPANIA;2003;A.O. SANTOBONO-PAUSILLIPON;81208;98300;-74;0;-1596;4499;-23261
CAMPANIA;2003;A.O. MONALDI-COTUGNO;142829;147808;-68;0;-1301;6385;-12733
CAMPANIA;2003;A.O. SAN GIOVANNI DI DIO E RUG. D'AR.;141194;156188;-365;0;-7327;7117;-29803
CAMPANIA;2003;A.O. SAN GIUSEPPE MOSCATI;106193;120140;-192;0;-2167;5384;-21690
CAMPANIA;2003;A.O. G. RUMMO;78732;90990;-30;0;905;4129;-15512
CAMPANIA;2003;A.O. OSPEDALE MULTIZONALE DI CASERTA;107204;126574;-174;0;-766;5642;-25952
CAMPANIA;2003;FONDAZIONE PASCALE;68757;67322;-70;0;-1096;2507;-2238
CAMPANIA;2003;A.O. COTUGNO;58319;59228;1;0;542;2235;-2601
CAMPANIA;2003;CONSOLIDATO REGIONALE;7295832;7670446;-22250;0;1603;192432;-587693
CAMPANIA;2003;ASL AVELLINO 1;167228;170631;-17;0;4440;4332;-3312
CAMPANIA;2003;ASL AVELLINO 2;270291;286553;-417;0;-3780;3590;-24049
CAMPANIA;2003;ASL BENEVENTO 1;299660;318667;-171;0;3208;5457;-21427
CAMPANIA;2003;ASL CASERTA 1;416395;482936;-1792;0;-4180;10178;-82691
CAMPANIA;2003;ASL CASERTA 2;415507;499017;-3653;0;-2796;11132;-101091
CAMPANIA;2003;ASL NAPOLI 1;1245980;1629116;-3557;0;-13221;39702;-439616
CAMPANIA;2003;ASL NAPOLI 2;415940;518814;-1573;0;-3871;9928;-118246
CAMPANIA;2003;ASL NAPOLI 3;288046;339673;-793;0;-2238;5182;-59840
CAMPANIA;2003;ASL NAPOLI 4;503976;548467;-3454;0;-4092;8299;-60336
CAMPANIA;2003;ASL NAPOLI 5;607370;722036;-2358;0;-8245;14196;-139465
CAMPANIA;2003;ASL SALERNO 1;394803;467738;-1218;0;8428;12172;-77897
CAMPANIA;2003;ASL SALERNO 2;487942;549314;-2188;0;-16853;11958;-92371
CAMPANIA;2003;ASL SALERNO 3;308188;332714;-115;0;-896;8795;-34332
CAMPANIA;2001;AO COTUGNO;50025;48594;5;0;1938;1985;1389
CAMPANIA;2001;AO OSPEDALE MULTIZONALE DI CASERTA;99734;101015;-164;0;3911;4755;-2289
CAMPANIA;2001;ASL AVELLINO 1;151361;151184;-13;0;-4212;4012;-8060
CAMPANIA;2001;ASL AVELLINO 2;218558;252487;-393;0;3583;3061;-33800
CAMPANIA;2001;ASL BENEVENTO 1;266311;317657;-417;0;-4037;172;-55972
CAMPANIA;2001;ASL CASERTA 1;391199;472506;-445;0;8229;11372;-84895
CAMPANIA;2001;ASL CASERTA 2;340058;423818;-620;0;4988;9515;-88907
CAMPANIA;2001;ASL NAPOLI 1;1068643;1458045;-1529;0;72200;39908;-358639
CAMPANIA;2001;ASL NAPOLI 2;307567;418291;-829;0;6459;10892;-115986
CAMPANIA;2001;ASL NAPOLI 3;233546;274382;-1342;0;-10899;4540;-57617
CAMPANIA;2001;ASL NAPOLI 4;377561;472870;-15;0;1132;7063;-101255
CAMPANIA;2001;ASL NAPOLI 5;514391;617930;-1755;0;16089;14580;-103785
CAMPANIA;2001;ASL SALERNO 1;314871;391229;-462;0;12182;10745;-75383
CAMPANIA;2001;ASL SALERNO 2;436870;509363;-707;0;33963;11863;-51100
CAMPANIA;2001;ASL SALERNO 3;272476;278576;-134;0;9865;7922;-4291
CAMPANIA;2001;AO SAN GIOVANNI DI DIO E RUG. D'AR.;121105;143539;-84;0;663;6278;-28133
CAMPANIA;2001;AO MONALDI-COTUGNO;129125;130371;-57;0;-171;6227;-7701
CAMPANIA;2001;AO SANTOBONO-PAUSILLIPON;74468;80969;-39;0;956;3742;-9326
CAMPANIA;2001;AO SAN GIUSEPPE MOSCATI;98758;106576;6;0;1089;4860;-11583
CAMPANIA;2001;AO G. RUMMO;75968;73194;6;0;303;84;2999
CAMPANIA;2001;AO CARDARELLI;236035;255929;-237;0;19808;12395;-12718
CAMPANIA;2006;ACCENTRATA REGIONALE;96420;96420;0;0;0;0;0
CAMPANIA;2006;CARDARELLI;327505;352506;-2386;0;-12567;14626;-54580
CAMPANIA;2006;SANTOBONO-PAUSILLIPON;101325;101615;-763;0;3050;4930;-2933
CAMPANIA;2006;MONALDI;178540;175733;-896;0;-4235;7817;-10141
CAMPANIA;2006;SAN GIOVANNI DI DIO E RUG. D`AR.;168461;168938;-924;0;-323;7930;-9654
CAMPANIA;2006;SAN GIUSEPPE MOSCATI;163208;145087;-297;0;3287;6054;15057
CAMPANIA;2006;G. RUMMO;124310;110283;-157;0;2133;5191;10812
CAMPANIA;2006;OSPEDALE MULTIZONALE DI CASERTA;142990;135040;-1499;0;-37;6254;160
CAMPANIA;2006;II UNIVERSITA` NAPOLI - EX I POLICLINICO;117853;134928;-525;0;1133;5253;-21720
CAMPANIA;2006;UNIV.STUDI NAPOLI-FEDERICO II-FAC.MEDIC.;200618;237823;-997;0;378;6405;-44229
CAMPANIA;2006;FONDAZIONE PASCALE CAPPELLA DEI CANGIANI;71923;78952;-490;0;-3224;2997;-13740
CAMPANIA;2006;COTUGNO;64964;63382;-70;0;-1400;2695;-2583
CAMPANIA;2006;CONSOLIDATO REGIONALE;8556950;8923766;-113459;0;-75466;249064;-804805
CAMPANIA;2006;AVELLINO 1;193907;218209;-1012;0;-3076;5086;-33476
CAMPANIA;2006;AVELLINO 2;360166;337712;-2550;0;-2011;4582;13311
CAMPANIA;2006;BENEVENTO 1;354546;357911;-3599;0;1428;6679;-12215
CAMPANIA;2006;CASERTA 1;496623;540102;-8033;0;1791;13666;-63387
CAMPANIA;2006;CASERTA 2;549188;560892;-6085;0;3121;12481;-27149
CAMPANIA;2006;NAPOLI 1;1553708;1842841;-41163;0;12372;46547;-364471
CAMPANIA;2006;NAPOLI 2;603202;614593;-10495;0;-1748;11913;-35547
CAMPANIA;2006;NAPOLI 3;376375;385186;-4014;0;22812;6390;3597
CAMPANIA;2006;NAPOLI 4;624683;638907;-6529;0;-21632;10796;-53181
CAMPANIA;2006;NAPOLI 5;728403;766834;-7987;0;-19246;17357;-83021
CAMPANIA;2006;SALERNO 1;503179;538588;-5584;0;-8422;15808;-65223
CAMPANIA;2006;SALERNO 2;576882;599879;-4252;0;4072;15721;-38898
CAMPANIA;2006;SALERNO 3;382594;372217;-3035;0;-284;11400;-4342
CAMPANIA;2007;ACCENTRATA REGIONALE;116606;116606;0;0;0;0;0
CAMPANIA;2007;CARDARELLI;350049;377003;-821;0;-18966;15017;-61758
CAMPANIA;2007;SANTOBONO-PAUSILLIPON;104923;105105;-337;-108;1825;4773;-3575
